json_id	json_number	all_conll	train	test	dev	sent
102452334654783488	224	340	240			I needa cut .
102880078140149761	225	341	241			Whaoo #BlowUp RT @ENVYTheRedHead_ : My mom bitchh to much .
103215484190728192	226	342	242			Dont stress , jus be happy
103351446422044672	227	343	243			Ahh . Flutes sound really bad with cheap mics . Writing a song now , just need chords and I'll be good . Bye :D
103730091690950656	228					Mi nexted tatt RT @slimisthe_hbic " see " no evil " hear " no evil " speak " no evil
104209643236106240	229	344	244			« @KayoVito #KayoQ &A LADIES what if u tell a guy " I Love you " and he says " oh ok " ... ... . then what ? »then he don't love you lol
104607145663807489	230	345	245			@yosoyRoland no you were right lol .. I do have to stop and I appreciate the input
105003247424638977	231	346	246			Ordering , pizza (: yumm .. :DD starved ..
105178326045429760	232	347	247			ON AIR : FeyDer - 20 Killa Choons Mix #Psych0Radio
105483314730762240	233	348	248			Havin fun at cade fergusons house
106038481528160256	234					your TL ... .. ::: " my boo silly . my boo likes milk . theres no competing with my boo . Im cookin for my boo . my boo my boo . MY BOO !!! " -__-
106426550739677184	235	32	32			How ? RT @IRoc_Nikes08 : @_ExPLICITbarbie lol dats so ugly
106836124592390144	236	33	33			Photo : http://t.co/2zggP2a
107177264319438850	237	34	34			Cold , raining , dark early . You'd think it was November not August bank holiday weekend
107516344521601025	238	43	43			("`▽´)-σ • RT @YYISHolaf : Hhmm iyo yeee RT @RadioGalauFM : If you're not in a relationship with him but you're jealous -it means you love him .
107706174417281024	239	35	35			" @allkpop : Super Junior’s Siwon transforms into ‘ Captain Choi ’ for “ Poseidon ” http://t.co/W2aG8os "
108307624864387072	240	326	226			@DatYellow @StealthyCupcake 2+4 = 6 I have 8 .
108387589492449280	241	44	44			@monaeebbyy2k11 I miss you too <3 I miss |California| but imma come see you as soon as I come back I #promise
109019209534672897	242					RT @iamGUYEL : Don't stress the " could haves " if it should have , It would have
109242480775528448	243	115	115			Do not feel good at all !! #notwinning
109640994080817152	244					@Icallmyself Beautiful view . Thanks for sharing !
110020457012527104	245					OOHHHH that was sssoooo good !! 1st bath since May lol :)
110235247366520832	246					fuck it i faked it
110555927261872129	247	116	116			Givin out Back shots
110994139734216704	248	117	117			The weather outside doesn't look too appealing .
111270456279044096	249	62	62			Abe Lincoln ain't dead , he's in my pocket ;)
111620961601724416	250	63	63			@inglish4u Hehe I'm still on my summer vacation :) but if I don't try get up earlier than now , I'll definitely be late for school :'( #i4u
112995577507233792	253	64	64			Bouta be home
113737675776851968	255	65	65			@eyesof99 CD : 90% MP3 : 0% Vinyl : 10%
114094913100066816	256					@BlackStaxx_SCF you already
114437172601438208	257	66	66			@Tongriyang schl is ok so far ... . will calll u soon ... still with my fone ... he is good ;-) hw r u ?
114519569518952448	258					RT @ispeakfemale : Be happy in front of people who don't like you . It kills them .
115185637753225216	259					RT @thejoemoses : Also : buy tix for my good buddy @DarrenCriss in @H2SBway ! He will be amazing and I will be there cheering along w you ! ...
115449631198027776	260	19	19			RT @thickinmyhips i hate being employed sometimes !
116020501331189761	262					Love you too Ariane <3 n_n
116528259465887744	263					LMFAO !!!!!! damn , that had to be the laugh of the morning
116663488197300224	264	387	287			@PrettyNpaidCEO right ..
117237373632380929	265	393	293			... .. think I might move to Raleigh . NCSU giving up any money ??
117527074050277377	266	388	288			jelena is still annoying af .
117806586860273664	267	389	289			RT @MarcUn4gettable : im either goin be the BEST or the WORST , but atleast im #1 in your HEART at it ..
118150674960752644	268					@AKOffSafety he STAY drinkin it . He be burpin nshit lmao
118650342450794496	269	390	290			@Say_WatsReal ; awe you miss me ??
119145760989257728	270					This #CoonShit right here tho twitpic.com/6s0h5f
119442713740460032	271	394	294			#FOLLOW us & #CHECKOUT the multi-talented Spanglish/Techno/Pop Singer/Model @LaniBoomBoom aka Lady Boom Boom http://t.co/370clluQ
119603804181250048	272	391	291			Tagged : @Celiajulia @maariferrodi - http://t.co/E2DTX8mJ
